"Title","Date","NumPages","CoverColor","AccentColor","ImageURL"
"Watching from the Dark","Sun Oct 11 21:37:08 -0700 2020","","White","867C45","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
"The Girl Who Played with Fire","Mon Oct 12 14:14:58 -0700 2020","503","Orange","C39D08","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351778881l/5060378._SX98_.jpg"
"The Secret Adversary","Sat Oct 24 01:34:44 -0700 2020","256","Yellow","B11A25","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577285091l/49871359._SX98_.jpg"
